chip,threshold,dac,hits_per_s,count0,count1,dt_s,mu_est,sigma_est,r2_est
2,1,200,0.0,4530381,4530381,10.010366916656494,246,5,0.9027447215384663
2,1,199,0.0,4530382,4530382,10.009954452514648,246,5,0.9027447215384663
2,1,198,0.19979196752077258,4530383,4530385,10.010412454605103,246,5,0.9034564844137416
2,1,197,0.0,4530386,4530386,10.010146141052246,246,5,0.9034564844137416
2,1,196,0.29971589078660527,4530388,4530391,10.009479284286499,246,5,0.9041324941860323
2,1,195,0.0,4530393,4530393,10.010992050170898,246,5,0.9041324941860323
2,1,194,0.0,4530395,4530395,10.011001348495483,246,5,0.9041324941860323
2,2,255,89259.30601240046,16171770,287973,10.00925326347351,,,
2,2,254,98802.70393678818,292455,1281454,10.00983738899231,,,
2,2,253,110782.01733084091,1286427,2395393,10.010343074798584,,,
2,2,252,122667.09108396019,2401072,3628989,10.01015830039978,,,
2,2,251,133161.87705572147,3635081,4968156,10.01093578338623,253,1,-5.979009175278647
2,2,250,138195.47798938566,4974497,6357751,10.009401321411133,252,2,-4.8968285852720035
2,2,249,135611.85012504316,6364022,7721410,10.009361267089844,252,2,-4.900219492679161
2,2,248,123509.02396246111,7727266,8963587,10.009964942932129,251,2,-5.145521746995557
2,2,247,92450.33283284515,8968573,9893972,10.009688138961792,251,2,-3.222995898984733
2,2,246,69682.98267921117,9897408,10594879,10.009201288223267,251,3,-1.0821122602118622
2,2,245,46109.26211584006,10597591,11059119,10.009442329406738,250,3,0.06811701103219803
2,2,244,30548.67442985494,11060662,11366473,10.010614395141602,250,3,0.515634286285606
2,2,243,18072.262802188263,11367523,11548430,10.010201930999756,250,3,0.707805939203601
2,2,242,10686.72818166408,11548988,11655963,10.010079622268677,250,3,0.7987447964977664
2,2,241,5716.6704281958055,11656335,11713558,10.009847640991211,250,3,0.8469378271023285
2,2,240,3142.80859665222,11713753,11745212,10.009836435317993,250,3,0.8752489814259505
2,2,239,1136.5950029745986,11745327,11756704,10.009721994400024,250,3,0.8925982500040761
2,2,238,565.8250155969912,11756758,11762422,10.010161876678467,250,3,0.9044292058160259
2,2,237,279.1187785991473,11762460,11765254,10.010075330734253,250,3,0.9129399306979274
2,2,236,123.67085971084558,11765283,11766521,10.01044225692749,250,3,0.9193058347083302
2,2,235,56.0466953581683,11766549,11767110,10.00951075553894,250,3,0.9242572067075971
2,2,234,24.575929756298333,11767128,11767374,10.009794235229492,250,3,0.9282235697033461
2,2,233,12.4873051954857,11767393,11767518,10.01016616821289,250,3,0.9314845698776599
2,2,232,5.994346371933762,11767536,11767596,10.009431600570679,250,3,0.9342138422046563
2,2,231,1.5985205419321713,11767608,11767624,10.009255170822144,250,3,0.9365291304734574
2,2,230,1.9979339030954155,11767633,11767653,10.010341167449951,250,3,0.9385293371653569
2,2,229,1.4984578863462417,11767669,11767684,10.010291337966919,250,3,0.9402719454149844
2,2,228,0.6992942874765323,11767692,11767699,10.010091781616211,250,3,0.9418016148679814
2,2,227,0.7992039598505336,11767709,11767717,10.009960412979126,250,3,0.9431582281373228
