adc;energy_eV;energy_MeV;fit_a_eV_per_ADC;fit_b_eV
2628.614529;887561.821984;0.887561822;301.805063948065;94232.645876
2641.186606;891356.138302;0.891356138;301.805063948065;94232.645876
2653.758682;895150.454621;0.895150455;301.805063948065;94232.645876
2666.330758;898944.770939;0.898944771;301.805063948065;94232.645876
2678.902835;902739.087257;0.902739087;301.805063948065;94232.645876
2691.474911;906533.403576;0.906533404;301.805063948065;94232.645876
2704.046988;910327.719894;0.910327720;301.805063948065;94232.645876
2716.619064;914122.036213;0.914122036;301.805063948065;94232.645876
2729.191140;917916.352531;0.917916353;301.805063948065;94232.645876
2741.763217;921710.668849;0.921710669;301.805063948065;94232.645876
2754.335293;925504.985168;0.925504985;301.805063948065;94232.645876
2766.907370;929299.301486;0.929299301;301.805063948065;94232.645876
2779.479446;933093.617805;0.933093618;301.805063948065;94232.645876
2792.051522;936887.934123;0.936887934;301.805063948065;94232.645876
